Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Moscow Borough Police Dept.,18444,Lackawanna,35,35,35,42,(570) 842-2061,"Monday-Friday, 8am-4pm","123 Van Brunt Street
Moscow, Pennsylvania
(41.3363, -75.5183)"
State Police-Troop H / Carlisle,17015,Cumberland,21,21,21,42,NA,NA,"1538 Commerce Ave.
Carlisle, Pennsylvania
(40.1846, -77.2272)"
City of Lower Burrell Police Dept.,15068,Westmoreland,65,65,65,42,(724) 339-4287,"Monday-Friday, 8am-4pm","2800 Bethel Street
Lower Burrell, Pennsylvania
(40.5882, -79.7284)"
Clarion Borough Police Department,16214,Clarion,16,16,16,42,(814) 226-9140,"7 days a week, 24 hours a day","1400 East Main Street
Clarion, Pennsylvania
(41.2074, -79.3649)"
Limerick Township Police Department,19468,Montgomery,46,46,46,42,(610) 495-7909,"Monday-Friday, 8:30am-4pm","646 West Ridge Pike
Limerick, Pennsylvania
(40.2397, -75.5407)"
Athens Township Police Dept.,18840,Bradford,8,8,8,42,(570) 888-6507,"Monday-Friday, 8am-4pm","45 Herrick Avenue
Sayre, Pennsylvania
(41.9723, -76.5386)"
Bentleyville Municipal Bldg,15315,Washington,63,63,63,42,(724) 239-2701,"Monday-Friday, 8am-4pm","900 Main Street
Bentleyville, Pennsylvania
(40.1213, -80.0057)"
West Conshohocken Police Dept.,19428,Montgomery,46,46,46,42,(610) 940-5842,Contact location for hours,"1001 New De Haven Street
West Conshohocken, Pennsylvania
(40.0673, -75.3233)"
Redstone Twp. Police Dept.,15442,Fayette,26,26,26,42,(724) 246-1019,Contact location for hours,"225 Twin Hills Road
Grindstone, Pennsylvania
(39.9829, -79.8516)"
Bucks County Courthouse,18901,Bucks,9,9,9,42,(215) 348-6000,Contact location for hours,"55 E. Court Street
Doylestown, Pennsylvania
(40.3123, -75.1298)"
Cumberland Twp. Police Dept,15320,Greene,30,30,30,42,(724) 966-8296,"7 days a week, 24 hours a day","100 Municipal Road
Carmichaels, Pennsylvania
(39.8973, -79.966)"
State Police-Troop F / Milton,17847,Northumberland,49,49,49,42,NA,NA,"50 Lawton Ln.
Milton, Pennsylvania
(41.7924, -77.1198)"
Greenville-West Salem Police Dept.,16125,Mercer,43,43,43,42,(724) 588-4190,"Monday-Friday, 10am-2pm","125 Main Street
Greenville, Pennsylvania
(41.4045, -80.3907)"
Kennett Square Police Dept.,19348,Chester,15,15,15,42,(610) 444-0501,"Monday-Friday, 8:30am-4:30pm","115 North Broad Street
Kennett Square, Pennsylvania
(39.8478, -75.7106)"
Richland Township Police,18951,Bucks,9,9,9,42,(215) 536-9500,"Monday-Friday, 8am-4:30pm","229 California Road
Quakertown, Pennsylvania
(40.4495, -75.3528)"
West View Police Department,15229,Allegheny,2,2,2,42,(412) 931-2800,Contact location for hours,"441 Perry Hwy
Pittsburgh, Pennsylvania
(40.5199, -80.0329)"
Bushkill Township Police Dept.,18064,Northampton,48,48,48,42,(610) 759-9589,Contact location for hours,"1114 Bushkill Center Road
Nazareth, Pennsylvania
(40.799, -75.3324)"
State Police-Troop H / Newport,17074,Perry,50,50,50,42,NA,NA,"155 Red Hill Rd.
Newport, Pennsylvania
(40.4978, -77.1052)"
Galeton Borough Police Dept.,16922,Potter,53,53,53,42,(814) 435-2600,Contact location for hours,"4 Sherman Street
Galeton, Pennsylvania
(41.7323, -77.6408)"
Brighton Township Police Dept.,15009,Beaver,4,4,4,42,(724) 728-1134,Contact location for hours,"1300 Brighton Road
Beaver, Pennsylvania
(40.7093, -80.3644)"
Wayne County District Attorney's Office,18431,Wayne,64,64,64,42,(570) 253-4912,"Monday-Friday, 8:30am-4:30pm","925 Court Street
Honesdale, Pennsylvania
(41.5747, -75.2541)"
Borough of Green Tree Police Dept.,15220,Allegheny,2,2,2,42,(412) 921-8624,Contact location for hours,"10 West Manilla Avenue
Pittsburgh, Pennsylvania
(40.4188, -80.047)"
Delaware County Govt. Center,19063,Delaware,23,23,23,42,NA,NA,"201 W. Front St.
Media, Pennsylvania
(39.9201, -75.3915)"
Upper Makefield Twp Police,18940,Bucks,9,9,9,42,(215) 968-3020,"Monday-Friday, 8:30am-4:30pm","1076 Eagle Road
Newtown, Pennsylvania
(40.2877, -74.9375)"
Lehigh Valley Health Network (c/o Bethlehem Police Dept.),18017,Lehigh,39,39,39,42,(484) 884-8225,Contact location for hours,"2545 Schoenersville Rd., 4th Flr South
Bethlehem, Pennsylvania
(40.6446, -75.4088)"
Penn State University Berks Campus / Perkins Student Center,19610,Berks,6,6,6,42,(610) 396-6111,"Monday-Thursday, 7:30am-11pm; Friday 7:30am-10pm; Saturday 11am-7pm; Sunday 11am-11pm","Room 114, Luerssen Building
Reading, Pennsylvania
(40.338, -75.9754)"
Edinboro Borough Police Department,16412,Erie,25,25,25,42,(814) 734-1712,"7 days a week, 24 hours a day","124 Meadville St
Edinboro, Pennsylvania
(41.8733, -80.1317)"
Bethlehem Police Dept. ,18018,Lehigh,39,39,39,42,(610) 865-7150,"Monday-Friday, 7am-5pm","10 East Church Street
Bethlehem, Pennsylvania
(40.6185, -75.378)"
Millersburg Police Dept.,17061,Dauphin,22,22,22,42,(717) 692-2323,"Monday-Friday, 8am-3pm","101 West Street
Millersburg, Pennsylvania
(40.5374, -76.9614)"
Swarthmore Borough Police Department,19081,Delaware,23,23,23,42,NA,NA,"121 Park Avenue
Swarthmore, Pennsylvania
(39.9016, -75.3484)"
Armstrong County Memorial Hospital,16201,Armstrong,3,3,3,42,(724) 543-8448,Contact location for hours,"1 Nolte Drive
Kittanning, Pennsylvania
(40.8089, -79.5622)"
Hopewell Township Police Dept.,15001,Beaver,4,4,4,42,(724) 378-0557,Contact location for hours,"1700 Clark Boulevard
Aliquippa, Pennsylvania
(40.5925, -80.2635)"
Tredyffrin Township Police Dept.,19312,Chester,15,15,15,42,(610) 644-3221,"Monday-Friday, 6:30am-10:00pm, or by appointment","1100 DuPortail Road
Berwyn, Pennsylvania
(40.0458, -75.4396)"
Northern York County Regional Police Department,17315,York,67,67,67,42,(717) 292-3647,"Monday-Friday, 8am-4:30pm","1445 East Canal Road
Dover, Pennsylvania
(40.0086, -76.8284)"
State Police-Troop N / Lehighton,18235,Carbon,13,13,13,42,NA,NA,"9170 Interchange Rd.
Lehighton, Pennsylvania
(40.8773, -75.5448)"
Ferguson Township Police Dept.,16801,Centre,14,14,14,42,(814) 237-1172,Contact location for hours,"3147 Research Drive
State College, Pennsylvania
(40.7622, -77.8747)"
Lake City Police Department,16423,Erie,25,25,25,42,(814) 774-8341,"Monday-Friday, 9am-5pm, or by appointment","2352 Main St
Lake City, Pennsylvania
(42.0131, -80.3423)"
South Williamsport Police Dept.,17702,Lycoming,41,41,41,42,(570) 327-8152,"Monday-Friday, 8am-4:30pm ","329-331 West Southern Ave.
South Williamsport, Pennsylvania
(41.2322, -76.9983)"
Borough of Dormont Police Dept.,15216,Allegheny,2,2,2,42,(412) 561-8900,"7 days a week, 7am-6pm","1444 Hillsdale Avenue, Suite 1
Pittsburgh, Pennsylvania
(40.3946, -80.0373)"
McAdoo Police Dept. ,18237,Schuylkill,54,54,54,42,(570) 929-2590,Contact location for hours,"23 North Hancock Street
McAdoo, Pennsylvania
(40.9027, -75.9949)"
State Police-Troop C / Punxsutawney,15767,Jefferson,33,33,33,42,NA,NA,"485 N Findley St.
Punx, Pennsylvania
(40.9501, -78.9791)"
Plymouth Twp. Police Dept.,19462,Montgomery,46,46,46,42,(610) 279-1901,"7 days a week, 24 hours a day","700 Belvoir Road
Plymouth Meeting, Pennsylvania
(40.1285, -75.3093)"
Lewistown Police Department,17044,Mifflin,44,44,44,42,(717) 248-6716,"Monday-Friday, 8:30am-4:30pm","21 South Brown Street, Suite A
Lewistown, Pennsylvania
(40.5978, -77.5725)"
Doylestown Township Police,18901,Bucks,9,9,9,42,(215) 348-4201,"Monday-Friday, 8am-4:30pm","425 Wells Road
Doylestown, Pennsylvania
(40.283, -75.1359)"
Brownsville Borough Police Dept.,15417,Fayette,26,26,26,42,(724) 785-7334,Contact location for hours,"200 Second Street
Brownsville, Pennsylvania
(40.0204, -79.89)"
Stroud Area Regional Police,18301,Monroe,45,45,45,42,NA,NA,"100 Day Street
East Stroudsburg, Pennsylvania
(40.9993, -75.1868)"
Lord's Valley Village Pharmacy ,18428,Pike,52,52,52,42,(570) 775-9555,Contact location for hours,"Route 739, Lords Valley Traders Market
Lords Valley, Pennsylvania
(41.3498, -75.0484)"
State Police-Troop G / Huntingdon,16652,Huntingdon,31,31,31,42,NA,NA,"10637 Raystown Rd.
Huntington, Pennsylvania
(40.475, -78.0572)"
Borough of Ligonier Police Dept.,15658,Westmoreland,65,65,65,42,(724) 238-5611,"Monday-Friday, 8am-5pm","112 North Fairfield Street
Ligonier, Pennsylvania
(40.2443, -79.2384)"
Wilson Borough Police Dept.,18042,Northampton,48,48,48,42,(610) 253-1134,Contact location for hours,"2035 Butler Street
Easton, Pennsylvania
(40.6841, -75.2417)"
Leetsdale Police Dept.,15056,Allegheny,2,2,2,42,(724) 266-4820 ,Contact location for hours,"373 Beaver Street, Suite B
Leetsdale, Pennsylvania
(40.5661, -80.209)"
North Huntington Township Police Department,15642,Westmoreland,65,65,65,42,(724) 863-8800,"7 days a week, 24 hours a day","11279 Center Highway
Irwin, Pennsylvania
(40.3302, -79.73)"
State Police-Troop E / Warren,16365,Warren,62,62,62,42,NA,NA,"22001 Rt 6
Warren, Pennsylvania
(41.845, -79.2257)"
Warrington Township Building,18976,Bucks,9,9,9,42,(215) 343-9350,Contact location for hours,"852 Easton Road
Warrington, Pennsylvania
(40.2389, -75.1376)"
Blossburg Borough Police Department,16912,Tioga,59,59,59,42,(570) 638-3134,"Monday-Friday, 9am-5pm, or by appointment","245 Main Street
Blossburg, Pennsylvania
(41.6808, -77.065)"
"Allegheny County Sheriff's Office (no box, but may call for drug pick-up)",15219,Allegheny,2,2,2,42,(412) 350-4700,Contact location for hours,"436 Grant St # 111
Pittsburgh, Pennsylvania
(40.4388, -79.9964)"
Patterson Twp. Police Dept. ,15010,Beaver,4,4,4,42,NA,NA,"1600 19th Avenue
Beaver Falls, Pennsylvania
(40.7573, -80.333)"
Mahoning Twp. Police Dept.,18235,Carbon,13,13,13,42,(570) 386-2241,Contact location for hours,"2685 Mahoning Drive East
Lehighton, Pennsylvania
(40.8114, -75.7729)"
Mount Joy Borough Police Department,17552,Lancaster,36,36,36,42,717) 653-1650,Contact location for hours,"21 E Main St
Mount Joy, Pennsylvania
(40.11, -76.5022)"
Upper Chichester Township Polcie Department,19014,Delaware,23,23,23,42,(610) 485-8400,"7 days a week, 24 hours a day","8400 Furey Road
Aston, Pennsylvania
(39.858, -75.4599)"
Weis Markets - Jersey Shore,17740,Lycoming,41,41,41,42,(570) 398-7757,"Monday-Friday, 8am-8pm; Saturday, 8am-6pm; Sunday, 9am-5pm","1440 Allegheny St.
Jersey Shore, Pennsylvania
(41.2016, -77.2765)"
Philadelphia Police Dept.-7th Police District,19115,Philadelphia,51,51,51,42,(215) 686-3070,Contact location for hours,"Bustleton & Bowler Streets
Philadelphia, Pennsylvania
(40.0911, -75.0327)"
State Police-Troop A / Somerset,15501,Somerset,56,56,56,42,NA,NA,"142 Sagamore St.
Somerset, Pennsylvania
(40.0308, -79.0815)"
City of Warren Police Dept.,16365,Warren,62,62,62,42,(814) 723-2700,"Monday-Friday, 8am-5pm, or by appointment","318 W Third Ave
Warren, Pennsylvania
(41.8465, -79.1493)"
Plumstead Township Building,18949,Bucks,9,9,9,42,(215) 766-8741,"Monday-Friday, 8am-4pm","5186 Stump Road
Plumsteadville, Pennsylvania
(40.3913, -75.1418)"
Montgomery Township Police Dept.,18936,Montgomery,46,46,46,42,(215) 362-2301,Contact location for hours,"1001 Stump Hall Road
Montgomeryville, Pennsylvania
(40.2315, -75.2231)"
Springdale Borough Police Dept.,15144,Allegheny,2,2,2,42,(724) 274-9022,Contact location for hours,"325 School Street
Springdale, Pennsylvania
(40.5422, -79.7784)"
Newville Borough Police Dept.,17241,Cumberland,21,21,21,42,(717) 776-5513,"Monday-Friday, 7am-11am","27 West Big Spring Avenue
Newville, Pennsylvania
(40.1717, -77.3997)"
State Police-Troop G / Lewistown,17059,Mifflin,44,44,44,42,NA,NA,"34 Arch Rock Rd.
Mifflintown, Pennsylvania
(40.5986, -77.412)"
Linesville Borough Police Dept.,16424,Crawford,20,20,20,42,(814) 683-5454,Contact location for hours,"127 East Erie Street
Linesville, Pennsylvania
(41.6564, -80.4203)"
Monongahela Police Dept.,15063,Washington,63,63,63,42,(724) 258-5511,By appointment,"451 W. Main Street
Monongahela, Pennsylvania
(40.2037, -79.9274)"
Weis Markets - Williamsport (River Ave.),17701,Lycoming,41,41,41,42,(570) 322-5597,"Monday-Friday, 8am-8pm; Saturday 8am-6pm; Sunday, 10am-2pm","305 River Ave.
Williamsport, Pennsylvania
(41.2497, -76.9818)"
Spring Twp. Police Department ,19608,Berks,6,6,6,42,(610) 678-3431,"Monday-Friday, 8am-4:30pm","2800 Shillington Road
Sinking Spring, Pennsylvania
(40.3178, -76.0056)"
Indiana University of PA Police Department,15705,Indiana,32,32,32,42,(724) 357-2546 ,"7 days a week, 24 hours a day","850 Maple Street University Towers
Indiana, Pennsylvania
(40.6176, -79.1584)"
Perry County Sheriff's Office / Courthouse (Lobby area),17068,Perry,50,50,50,42,(717) 582-5123,"Monday-Friday, 8am-4pm","2 East Main Street
New Bloomfield, Pennsylvania
(40.42, -77.1876)"
State Police-Troop M / Belfast,18064,Northampton,48,48,48,42,NA,NA,"654 Bangor Rd.
Nazareth, Pennsylvania
(40.774, -75.2696)"
Caernarvon Twp. Police Department ,19543,Berks,6,6,6,42,(610) 286-1012,"Monday-Friday, 8 am-4pm; closed holidays","3307 Main Street
Morgantown, Pennsylvania
(40.1142, -76.0632)"
Hatboro Police Dept. ,19040,Montgomery,46,46,46,42,(215) 675-4400,Contact location for hours,"414 South York Road
Hatboro, Pennsylvania
(40.171, -75.1112)"
West Caln Township Police Department,19320,Chester,15,15,15,42,(610) 384-3115,Monday-Friday 8am-4pm,"721 W Kings Highway
Coatesville, Pennsylvania
(40.011, -75.8678)"
Lower Windsor Township Police Department,17368,York,67,67,67,42,(717) 244-6813,"Monday-Friday, 8am-4:30pm","2425 Craley Road
Wrightsville, Pennsylvania
(39.9475, -76.5102)"
Bethlehem Police Dept. ,18018,Northampton,48,48,48,42,(610) 865-7150,"Monday-Friday, 7am-5pm","10 East Church Street
Bethlehem, Pennsylvania
(40.6187, -75.3777)"
Potter County Sheriff's Dept.,16915,Potter,53,53,53,42,(814) 274-9350,Contact location for hours,"1 East Second Street
Coudersport, Pennsylvania
(41.7587, -77.9559)"
Marlborough Twp. Police Dept.,18054,Montgomery,46,46,46,42,(215) 234-9161,"Monday-Friday, 9am-2pm","6040 Upper Ridge Road
Green Lane, Pennsylvania
(40.3843, -75.405)"
Lawrence Township Police Dept.,16843,Clearfield,17,17,17,42,(814) 765-1647,Contact location for hours,"1215 Hall Street
Hyde, Pennsylvania
(40.9977, -78.4653)"
Western Berks Regional Police Department,19565,Berks,6,6,6,42,(610) 678-2835,"Monday-Friday, 9am-2pm","100 N. Reber Street
Wernersville, Pennsylvania
(40.3311, -76.077)"
Punxsutawney Police Department,15767,Jefferson,33,33,33,42,(814) 938-6220,Contact location for hours,"301 East Mahoning Street
Punxsutawney, Pennsylvania
(40.9439, -78.968)"
State Police-Troop L /Schuylkill Haven,17972,Schuylkill,54,54,54,42,NA,NA,"23 Meadowbrook Dr.
Schuylkill Haven, Pennsylvania
(41.7663, -77.974)"
West Norriton Police Dept.,19403,Montgomery,46,46,46,42,(610) 630-1701,Contact location for hours,"1630 W. Marshall Street
Norristown, Pennsylvania
(40.129, -75.3647)"
Yeadon Borough,19050,Delaware,23,23,23,42,NA,NA,"600 Church Lane,
Yeadon, Pennsylvania
(39.9361, -75.2536)"
Pittsburgh Bureau of Police,15233,Allegheny,2,2,2,42,(412) 323-7837,"7 days a week, 24 hours a day","1203 Western Avenue
Pittsburgh, Pennsylvania
(40.4505, -80.0215)"
Ridley Park Police,19078,Delaware,23,23,23,42,(610) 362-7401,"Monday-Friday, 9am-5pm  ","230 W. Chester Pike
Ridley Park, Pennsylvania
(39.8718, -75.3292)"
East Pittsburgh Police Dept.,12112,Allegheny,2,2,2,42,(412) 824-0447,Contact location for hours,"811 Linden Avenue
East Pittsburgh, Pennsylvania
(40.4005, -79.8351)"
Borough of Steelton Police Dept.,17101,Dauphin,22,22,22,42,(717) 939-9841,"Monday-Friday, 8am-4:30pm","123 North Front Street
Steelton, Pennsylvania
(40.2598, -76.8851)"
Butler County Prison,16001,Butler,10,10,10,42,(724) 284-5256,"7 days a week, 24 hours a day","202 South Washington Street
Butler, Pennsylvania
(40.8598, -79.897)"
Irwin Police Dept. ,15642,Westmoreland,65,65,65,42,(724) 864-3103,"7 days a week, 24 hours a day","424 Main Street
Irwin, Pennsylvania
(40.3315, -79.7115)"
State Police-Troop H / Chambersburg,17202,Franklin,28,28,28,42,NA,NA,"679 Franklin Farm Ln.
Chambersburg, Pennsylvania
(39.9345, -77.6252)"
Quarryville Borough Police Department,17566,Lancaster,36,36,36,42,(717) 786-3121,Contact location for hours,"300 St. Catherine Street
Quarryville, Pennsylvania
(39.8934, -76.1613)"
State Police-Troop G / Rockview,16823,Centre,14,14,14,42,NA,NA,"745 S Eagle Valley Rd.
Bellefonte, Pennsylvania
(40.9356, -77.8104)"
Kittanning Borough Police Station,16201,Armstrong,3,3,3,42,(724) 543-1538,"7 days a week, 24 hours a day","300 S. McKean Street
Kittanning, Pennsylvania
(40.8121, -79.5154)"
Bradford County Sheriff's Office,18848,Bradford,8,8,8,42,(570) 265-1701,"Monday-Friday, 8am-5pm","301 Main St.
Towanda, Pennsylvania
(41.7671, -76.4425)"
South Strabane Police Dept.,15301,Washington,63,63,63,42,(724) 225-8111,"Monday-Friday, 8am-4:30pm","550 Washington Road
Washington, Pennsylvania
(40.2492, -80.2574)"
State Police-Troop D / New Castle,16105,Lawrence,37,37,37,42,NA,NA,"3539 Wilmington Rd.
New Castle, Pennsylvania
(41.0668, -80.3611)"
State Police-Troop F / Emporium,15834,Cameron,12,12,12,42,NA,NA,"12921 Rt 120
Emporium, Pennsylvania
(41.5015, -78.2637)"
Northampton Township Police,18954,Bucks,9,9,9,42,(215) 322-6111,"7 days a week, 24 hours a day","50 Township Road
Richboro, Pennsylvania
(40.2156, -75.0081)"
Slatington Police Dept.,18080,Lehigh,39,39,39,42,(610) 767-1846,"Sunday-Thursday, 10am-2pm","125 S. Walnut Street
Slatington, Pennsylvania
(40.7506, -75.6055)"
City of McKeesport Police Dept.,15132,Allegheny,2,2,2,42,(412) 675-5050,Contact location for hours,"201 Lysle Boulevard
McKeesport, Pennsylvania
(40.3516, -79.8664)"
McSherrystown Police Dept.,17344,Adams,1,1,1,42,(717) 637-1775,Contact location for hours,"336 Main Street
McSherrystown, Pennsylvania
(39.8038, -77.0192)"
Tilden Twp. Police Department ,19526,Berks,6,6,6,42,(610) 562-9001,"Monday-Friday, 7am-10pm; Sunday, 12pm-8pm","870 Hex Highway
Hamburg, Pennsylvania
(40.5381, -76.0198)"
Philadelphia Police Dept.-3rd Police District,19145,Philadelphia,51,51,51,42,(215) 686-3030,Contact location for hours,"11th & Wharton Streets
Philadelphia, Pennsylvania
(39.9334, -75.1623)"
Lansdowne Borough Police,19050,Delaware,23,23,23,42,NA,NA,"12 E. Baltimore Pk.
Lansdowne, Pennsylvania
(39.9381, -75.2717)"
State Police-Troop P / Towanda,18848,Bradford,8,8,8,42,NA,NA,"101 Hawkins Rd.
Towanda, Pennsylvania
(41.7962, -76.4854)"
Aliquippa Police Dept.,15001,Beaver,4,4,4,42,NA,NA,"300 Franklin Avenue
Aliquippa, Pennsylvania
(40.6179, -80.2462)"
East Earl Township Police Dept.,17519,Lancaster,36,36,36,42,(717) 355-5302,"Monday-Friday, 6am-5pm; or call 717-354-2211 for 24-hour access ","128 Toddy Drive
East Earl, Pennsylvania
(40.1174, -76.0309)"
West Mead Twp. Police Dept.,16335,Crawford,20,20,20,42,(814) 336-1005,Contact location for hours,"1150 Morgan Village Drive
Meadville, Pennsylvania
(41.6289, -80.1337)"
Messiah College,17055,Cumberland,21,21,21,42,"(717) 766-2511, ext 6035","Monday-Friday, 8am-5pm","Engle Health Center
Grantham, Pennsylvania
(40.156, -76.9942)"
City of Williamsport Police Dept.,17701,Lycoming,41,41,41,42,(570) 327-7548,"Monday-Friday, 8am-4pm","245 West 4th Street
Williamsport, Pennsylvania
(41.2404, -77.0056)"
Upper Dublin Township Police Department ,19034,Montgomery,46,46,46,42,(215) 646-2101,"7 days a week, 24 hours a day","801 Loch Alsh Ave.
Fort Washington, Pennsylvania
(40.1531, -75.1953)"
Westtown-East Goshen Regional Police Dept.,19382,Chester,15,15,15,42,(610) 692-9600,"Monday-Friday, 8:30am-4:30pm","1041 Wilmington Pike
West Chester, Pennsylvania
(39.9331, -75.5862)"
State Police-Troop P / Tunkhannock,18657,Wyoming,66,66,66,42,NA,NA,"6039 SR
Tunkhannock, Pennsylvania
(41.5419, -75.9542)"
Cheltenham Township Police Dept.,19027,Montgomery,46,46,46,42,(215) 885-1600,Contact location for hours,"8230 Old York Road
Elkins Park, Pennsylvania
(40.0816, -75.1276)"
Bethel Township Police Department,19060,Delaware,23,23,23,42,NA,NA,"1090 Bethel Road
Garnet Valley, Pennsylvania
(39.8523, -75.4883)"
Lititz Borough Police,17543,Lancaster,36,36,36,42,(717) 626-6393,"Monday-Friday, 8am-4:30pm","7 South Broad Street
Lititz, Pennsylvania
(40.1567, -76.3071)"
York Area Police Department,17402,York,67,67,67,42,(717) 741-1259,"Monday-Friday, 8am-5pm","33 Oak Street
York, Pennsylvania
(39.9208, -76.6825)"
Forest County Sheriff's Dept.,16353,Forest,27,27,27,42,(814) 755-3541,Contact location for hours,"526 Elm Street
Tionesta, Pennsylvania
(41.4962, -79.4562)"
Mount Carmel Twp. Police Dept.,17851,Northumberland,49,49,49,42,(570) 339-1653,Contact location for hours,"300 Laurel Street
Atlas, Pennsylvania
(40.7998, -76.4277)"
Palmer Township Police Dept.,18045,Northampton,48,48,48,42,(610) 253-5844,Contact location for hours,"5 Weller Place
Palmer, Pennsylvania
(40.7008, -75.2705)"
Berks County Detectives - Berks County AG Center,19533,Berks,6,6,6,42,(610) 898-1005,"Monday-Friday, 8am-4pm; closed holidays","1238 Welfare Road
Leesport, Pennsylvania
(40.3825, -76.0143)"
Clearfield County Courthouse,16830,Clearfield,17,17,17,42,(814) 765-2641,Contact location for hours,"230 East Market Street
Clearfield, Pennsylvania
(41.0224, -78.437)"
Glenolden Borough Police,19036,Delaware,23,23,23,42,NA,NA,"38 Boon Ave.
Glenolden, Pennsylvania
(39.8991, -75.2883)"
Upper Southampton Twp Police,18966,Bucks,9,9,9,42,(215) 364-5000,Contact location for hours,"939 Street Road
Southampton, Pennsylvania
(40.1714, -75.0367)"
Parkside Borough Police,19015,Delaware,23,23,23,42,NA,NA,"22 E. Elbon Rd.
Brookhaven, Pennsylvania
(39.8689, -75.3789)"
Canonsburg Police Dept.,15317,Washington,63,63,63,42,(724) 745-8020,"Monday-Friday, 8am-12pm and 1pm-4pm","68 East Pike Street
Canonsburg, Pennsylvania
(40.2588, -80.1848)"
Weis Markets - Montoursville,17754,Lycoming,41,41,41,42,(570) 368-5599,"Monday-Friday, 9am-9pm; Saturday, 9am-6pm; Sunday, 10am-2pm","801 Loyalsock Ave
Montoursville, Pennsylvania
(41.2601, -76.9191)"
Upper Chichester Township Police,19014,Delaware,23,23,23,42,NA,NA,"8400 Furey Rd.
Aston, Pennsylvania
(39.858, -75.4599)"
Wilkes Barre Police Department,18711,Luzerne,40,40,40,42,(570) 208-4635,Contact location for hours,"150 Watson St
Wilkes-Barre, Pennsylvania
(41.2272, -75.8712)"
Borough of Coopersburg Police Dept.,18036,Lehigh,39,39,39,42,(610)  282-1444,"Monday-Friday, 8am-4pm, or by appointment","5 North Main Street
Coopersburg, Pennsylvania
(40.5114, -75.3908)"
North Versailles Police Department,15137,Allegheny,2,2,2,42,(412) 823-1111,Contact location for hours,"1401 Greensburg Ave Ste 2
North Versailles, Pennsylvania
(40.3893, -79.8193)"
Richland Twp. Police Dept.,15904,Cambria,11,11,11,42,(814) 266-8333,"Monday-Friday, 8am-4pm; call for weekend hours","322 Schoolhouse Rd, Suite 110
Johnstown, Pennsylvania
(40.2691, -78.8403)"
Lykens Borough Police Dept.,17048,Dauphin,22,22,22,42,(717) 453-7001,"Monday-Friday, 7am-3pm by appointment","200 Main Street
Lykens, Pennsylvania
(40.5673, -76.7101)"
Solebury Township Police,18963,Bucks,9,9,9,42,(215) 297-8201,Contact location for hours,"3092 Sugan Road
Solebury, Pennsylvania
(40.3676, -74.9764)"
Leet Township Police Dept.,15003,Allegheny,2,2,2,42,(724) 266-6141,Contact location for hours,"198 Ambridge Avenue
Ambridge, Pennsylvania
(40.5835, -80.2096)"
East Franklin Township Police Dept.,16201,Armstrong,3,3,3,42,(724) 543-1944,Contact location for hours,"106 Cherry Orchard Avenue
Kittaning, Pennsylvania
(40.8524, -79.5525)"
North Londonderry Township Police Dept.,17078,Lebanon,38,38,38,42,(717) 838-5276,Contact location for hours,"655 East Ridge Road
Palymyra, Pennsylvania
(40.3231, -76.5896)"
Chester Co. Sheriff's Office,19380,Chester,15,15,15,42,(610) 344-6850,"Monday-Friday, 8am-4:30pm","201 W. Market St., Ste. 1201
West Chester, Pennsylvania
(39.9585, -75.608)"
Patton Township Police Dept.,16803,Centre,14,14,14,42,(814) 234-0273,Contact location for hours,"100 Patton Plaza
State College, Pennsylvania
(40.8123, -77.92)"
Borough of Jefferson Hills Police Dept.,15025,Allegheny,2,2,2,42,(412) 655-2222,Contact location for hours,"925 Old Clairton Road
Jefferson Hills, Pennsylvania
(40.2975, -79.9299)"
Upper Saucon Twp. Police Dept.,18034,Lehigh,39,39,39,42,(610) 282-3064,"Monday-Friday, 8am-12pm and 1pm-4pm","5500 Camp Meeting Road
Center Valley, Pennsylvania
(40.535, -75.4039)"
Brookhaven Police Department,19015,Delaware,23,23,23,42,NA,NA,"#2 Cambridge Road
Brookhaven, Pennsylvania
(39.8766, -75.392)"
Lackawanna County Sheriff's Dept.,18503,Lackawanna,35,35,35,42,(570) 963-6719,"Monday-Friday, 8am-4pm","200 North Washington Ave.
Scranton, Pennsylvania
(41.4079, -75.6637)"
State Police-Troop F / Mansfield,16933,Tioga,59,59,59,42,NA,NA,"785 Lambs Creek Rd
Mansfield, Pennsylvania
(41.8144, -77.089)"
Philadelphia Police Dept.-22nd Police District,19121,Philadelphia,51,51,51,42,(215) 686-3220,Contact location for hours,"17th & Montgomery Avenue
Philadelphia, Pennsylvania
(39.9808, -75.1624)"
Ridley Township Police Department,19033,Delaware,23,23,23,42,(610) 532-4000,"7 days a week, 24 hours a day","100 E. MacDade Blvd
Folsom, Pennsylvania
(39.8863, -75.3293)"
Knox Borough Police Dept.,16232,Clarion,16,16,16,42,(814) 797-1100,Contact location for hours,"620 South Main Street
Knox, Pennsylvania
(41.2284, -79.5388)"
Corry City Police Department,16407,Erie,25,25,25,42,(814) 664-2222,"Monday-Friday, 8am-4pm","20 E South St
Corry, Pennsylvania
(41.9198, -79.6392)"
Borough of Tyrone Police Dept.,16686,Blair,7,7,7,42,(814) 681-1365,"Monday-Friday, 8:30am-4:30pm","1100 Logan Avenue
Tyrone, Pennsylvania
(40.6722, -78.2389)"
